periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte_final,tasa_atencion,backlog,datos_invalidos,es_especializado,anio_mes_date,anio_mes_key,fuente
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Civil,Civil,Expediente,,124,109,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.8790322580645161,15,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Actos Contra La Libertad Sexual,Denuncia,,6,6,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Familia Civil,Expediente,,253,245,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9683794466403162,8,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Familia Penal,Denuncia,,275,250,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9090909090909091,25,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Familia Penal,Expediente,,83,78,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9397590361445783,5,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Familia Tutelar,Denuncia,,384,373,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9713541666666666,11,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Familia Tutelar,Expediente,,41,41,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Violencia Familiar,Denuncia,,24,23,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9583333333333334,1,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Familia,Violencia Familiar,Expediente,,30,30,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Denuncia,Criminalidad Organizada,18,18,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,1,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Denuncia,,3,3,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Investigacion Preventiva,,182,181,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.9945054945054945,1,0,0,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Denuncia,Delitos De Corrupcion De Funcionarios,294,281,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.95578231292517,13,0,1,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Denuncia,Delitos De Trafico Ilicito De Drogas,48,48,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,1,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Expediente,Delitos De Corrupcion De Funcionarios,1,0,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,0.0,1,0,1,2023-06-01,202306,BD-casos-fiscales-2019.csv
Enero - Diciembre,2019,2020-01-13,Amazonas,Provincial,Penal,Penal,Denuncia,Materia Ambiental,465,465,10101,Amazonas,Chachapoyas,Chachapoyas,2023-06-14,1.0,0,0,1,2023-06-01,202306,BD-casos-fiscales-2019.csv
